state,county,candidate,Party,votes
Maine,Wilton,Sara Gideon,D,773
Maine,Amherst,Sara Gideon,D,51
Maine,Aurora,Sara Gideon,D,22
Maine,Bar Harbor,Susan Collins,R,1035
Maine,Blue Hill,Susan Collins,R,752
Maine,Brooklin,Susan Collins,R,231
Maine,Brooksville,Susan Collins,R,277
Maine,Bucksport,Sara Gideon,D,949
Maine,Castine,Susan Collins,R,179
Maine,Cranberry Isles,Susan Collins,R,52
Maine,Dedham,Sara Gideon,D,424
Maine,Deer Isle,Susan Collins,R,589
Maine,Eastbrook,Sara Gideon,D,42
Maine,Ellsworth,Sara Gideon,D,1809
Maine,Franklin,Sara Gideon,D,288
Maine,Frenchboro,Sara Gideon,D,11
Maine,Gouldsboro,Sara Gideon,D,378
Maine,Great Pond,Sara Gideon,D,14
Maine,Hancock,Sara Gideon,D,482
Maine,Lamoine,Sara Gideon,D,482
Maine,Mariaville,Sara Gideon,D,84
Maine,Mount Desert,Susan Collins,R,506
Maine,Orland,Sara Gideon,D,537
Maine,Osborn,Sara Gideon,D,5
Maine,Otis,Sara Gideon,D,110
Maine,Penobscot,Sara Gideon,D,372
Maine,Sedgwick,Susan Collins,R,371
Maine,Sorrento,Sara Gideon,D,72
Maine,Southwest Harbor,Susan Collins,R,449
Maine,Stonington,Susan Collins,R,265
Maine,Sullivan,Sara Gideon,D,276
Maine,Surry,Sara Gideon,D,471
Maine,Swan's Island,Sara Gideon,D,96
Maine,Tremont,Sara Gideon,D,467
Maine,Trenton,Sara Gideon,D,379
Maine,Verona,Sara Gideon,D,114
Maine,Waltham,Sara Gideon,D,52
Maine,Winter Harbor,Sara Gideon,D,116
Maine,Albion,Sara Gideon,D,286
Maine,Augusta,Sara Gideon,D,4251
Maine,Belgrade,Sara Gideon,D,781
Maine,Benton,Sara Gideon,D,467
Maine,Chelsea,Sara Gideon,D,459
Maine,China,Sara Gideon,D,859
Maine,Clinton,Sara Gideon,D,502
Maine,Farmingdale,Sara Gideon,D,713
Maine,Fayette,Sara Gideon,D,318
Maine,Gardiner,Sara Gideon,D,1389
Maine,Hallowell,Susan Collins,R,574
Maine,Litchfield,Sara Gideon,D,623
Maine,Manchester,Sara Gideon,D,624
Maine,Monmouth,Sara Gideon,D,859
Maine,Mount Vernon,Sara Gideon,D,463
Maine,Oakland,Sara Gideon,D,1261
Maine,Pittston,Sara Gideon,D,539
Maine,Randolph,Sara Gideon,D,378
Maine,Readfield,Sara Gideon,D,761
Maine,Rome,Sara Gideon,D,258
Maine,Sidney,Sara Gideon,D,897
Maine,Unity,Sara Gideon,D,358
Maine,Vassalboro,Sara Gideon,D,833
Maine,Vienna,Sara Gideon,D,143
Maine,Waterville,Susan Collins,R,3071
Maine,Wayne,Sara Gideon,D,403
Maine,West Gardiner,Sara Gideon,D,756
Maine,Windsor,Sara Gideon,D,360
Maine,Winslow,Sara Gideon,D,1668
Maine,Winthrop,Sara Gideon,D,1562
Maine,Appleton,Sara Gideon,D,367
Maine,Camden,Susan Collins,R,1098
Maine,Cushing,Sara Gideon,D,339
Maine,Friendship,Sara Gideon,D,241
Maine,Hope,Susan Collins,R,486
Maine,Isle Au Haut,Susan Collins,R,16
Maine,Matinicus Isle Plt.,Sara Gideon,D,23
Maine,North Haven,Susan Collins,R,117
Maine,Owl's Head,Sara Gideon,D,459
Maine,Rockland,Susan Collins,R,1550
Maine,Rockport,Susan Collins,R,996
Maine,St. George,Susan Collins,R,805
Maine,South Thomaston,Sara Gideon,D,468
Maine,Thomaston,Sara Gideon,D,704
Maine,Union,Sara Gideon,D,547
Maine,Vinalhaven,Susan Collins,R,344
Maine,Warren,Sara Gideon,D,685
Maine,Washington,Sara Gideon,D,317
Maine,Alna,Susan Collins,R,213
Maine,Boothbay,Sara Gideon,D,998
Maine,Boothbay Harbor,Sara Gideon,D,646
Maine,Bremen,Susan Collins,R,224
Maine,Bristol,Sara Gideon,D,982
Maine,Damariscotta,Susan Collins,R,601
Maine,Dresden,Sara Gideon,D,439
Maine,Edgecomb,Susan Collins,R,413
Maine,Jefferson,Sara Gideon,D,535
Maine,Monhegan Plt.,Susan Collins,R,7
Maine,Newcastle,Susan Collins,R,501
Maine,Nobleboro,Sara Gideon,D,589
Maine,Somerville,Sara Gideon,D,107
Maine,South Bristol,Susan Collins,R,329
Maine,Southport,Sara Gideon,D,220
Maine,Waldoboro,Sara Gideon,D,1012
Maine,Westport,Sara Gideon,D,240
Maine,Whitefield,Sara Gideon,D,514
Maine,Wiscasset,Sara Gideon,D,863
Maine,Andover,Sara Gideon,D,190
Maine,Bethel,Sara Gideon,D,815
Maine,Brownfield,Sara Gideon,D,386
Maine,Buckfield,Sara Gideon,D,345
Maine,Byron,Sara Gideon,D,26
Maine,Canton,Sara Gideon,D,126
Maine,Denmark,Sara Gideon,D,311
Maine,Dixfield,Sara Gideon,D,354
Maine,Fryeburg,Sara Gideon,D,880
Maine,Gilead,Sara Gideon,D,44
Maine,Greenwood,Sara Gideon,D,215
Maine,Hanover,Sara Gideon,D,86
Maine,Hartford,Sara Gideon,D,216
Maine,Hebron,Sara Gideon,D,223
Maine,Hiram,Sara Gideon,D,288
Maine,Lincoln Plt.,Sara Gideon,D,7
Maine,Lovell,Sara Gideon,D,317
Maine,Magalloway Plt.,Sara Gideon,D,5
Maine,Mexico,Sara Gideon,D,456
Maine,Newry,Susan Collins,R,136
Maine,Norway,Sara Gideon,D,1149
Maine,Otisfield,Sara Gideon,D,431
Maine,Oxford,Sara Gideon,D,624
Maine,Paris,Sara Gideon,D,983
Maine,Peru,Sara Gideon,D,222
Maine,Porter,Sara Gideon,D,254
Maine,Roxbury,Sara Gideon,D,66
Maine,Rumford,Sara Gideon,D,997
Maine,Stoneham,Sara Gideon,D,70
Maine,Stow,Sara Gideon,D,104
Maine,Sumner,Sara Gideon,D,166
Maine,Sweden,Sara Gideon,D,123
Maine,Upton,Sara Gideon,D,14
Maine,Waterford,Sara Gideon,D,367
Maine,West Paris,Sara Gideon,D,287
Maine,Woodstock,Sara Gideon,D,305
Maine,Alton,Sara Gideon,D,118
Maine,Bangor,Sara Gideon,D,7466
Maine,Bradford,Sara Gideon,D,152
Maine,Bradley,Sara Gideon,D,283
Maine,Brewer,Sara Gideon,D,1933
Maine,Burlington,Sara Gideon,D,36
Maine,Carmel,Sara Gideon,D,414
Maine,Carroll Plt.,Sara Gideon,D,7
Maine,Charleston,Sara Gideon,D,127
Maine,Chester,Sara Gideon,D,36
Maine,Clifton,Sara Gideon,D,126
Maine,Corinna,Sara Gideon,D,251
Maine,Corinth,Sara Gideon,D,302
Maine,Dexter,Sara Gideon,D,458
Maine,Dixmont,Sara Gideon,D,211
Maine,Drew Plt.,Sara Gideon,D,3
Maine,East Millinocket,Sara Gideon,D,297
Maine,Eddington,Sara Gideon,D,366
Maine,Edinburg,Sara Gideon,D,22
Maine,Enfield,Sara Gideon,D,211
Maine,Etna,Sara Gideon,D,183
Maine,Exeter,Sara Gideon,D,144
Maine,Garland,Sara Gideon,D,134
Maine,Glenburn,Sara Gideon,D,809
Maine,Greenbush,Sara Gideon,D,146
Maine,Hampden,Sara Gideon,D,1812
Maine,Hermon,Sara Gideon,D,1080
Maine,Holden,Sara Gideon,D,651
Maine,Howland,Sara Gideon,D,187
Maine,Hudson,Sara Gideon,D,95
Maine,Kenduskeag,Sara Gideon,D,175
Maine,LaGrange,Sara Gideon,D,91
Maine,Lakeville,Sara Gideon,D,22
Maine,Lee,Sara Gideon,D,104
Maine,Levant,Sara Gideon,D,344
Maine,Lincoln,Sara Gideon,D,575
Maine,Lowell,Sara Gideon,D,38
Maine,Mattawamkeag,Sara Gideon,D,99
Maine,Maxfield,Sara Gideon,D,13
Maine,Medway,Sara Gideon,D,147
Maine,Milford,Sara Gideon,D,653
Maine,Millinocket,Sara Gideon,D,735
Maine,Mount Chase,Sara Gideon,D,24
Maine,Newburgh,Sara Gideon,D,274
Maine,Newport,Sara Gideon,D,430
Maine,Old Town,Sara Gideon,D,1849
Maine,Orono,Susan Collins,R,1603
Maine,Orrington,Sara Gideon,D,788
Maine,Passadumkeag,Sara Gideon,D,37
Maine,Patten,Sara Gideon,D,99
Maine,Plymouth,Sara Gideon,D,161
Maine,Seboeis Plt.,Sara Gideon,D,11
Maine,Springfield,Sara Gideon,D,19
Maine,Stacyville,Sara Gideon,D,22
Maine,Stetson,Sara Gideon,D,166
Maine,Veazie,Sara Gideon,D,494
Maine,Webster Plt.,Sara Gideon,D,7
Maine,Winn,Sara Gideon,D,39
Maine,Woodville,Sara Gideon,D,17
Maine,Abbot,Sara Gideon,D,93
Maine,Atkinson,Sara Gideon,D,39
Maine,Beaver Cove,Sara Gideon,D,39
Maine,Bowerbank,Sara Gideon,D,32
Maine,Brownville,Sara Gideon,D,222
Maine,Dover-Foxcroft,Sara Gideon,D,676
Maine,Greenville,Sara Gideon,D,363
Maine,Guilford,Sara Gideon,D,188
Maine,Kingsbury Plt.,Sara Gideon,D,0
Maine,Lake View Plt.,Sara Gideon,D,36
Maine,Medford,Sara Gideon,D,31
Maine,Milo,Sara Gideon,D,321
Maine,Monson,Sara Gideon,D,132
Maine,Parkman,Sara Gideon,D,118
Maine,Sangerville,Sara Gideon,D,193
Maine,Sebec,Sara Gideon,D,80
Maine,Shirley,Sara Gideon,D,21
Maine,Wellington,Sara Gideon,D,35
Maine,Willimantic,Sara Gideon,D,15
Maine,Arrowsic,Susan Collins,R,132
Maine,Bath,Susan Collins,R,1851
Maine,Bowdoin,Sara Gideon,D,550
Maine,Bowdoinham,Sara Gideon,D,928
Maine,Georgetown,Susan Collins,R,352
Maine,Phippsburg,Sara Gideon,D,645
Maine,Richmond,Sara Gideon,D,743
Maine,Topsham,Susan Collins,R,3029
Maine,West Bath,Sara Gideon,D,581
Maine,Woolwich,Sara Gideon,D,799
Maine,Anson,Sara Gideon,D,286
Maine,Athens,Sara Gideon,D,114
Maine,Bingham,Sara Gideon,D,133
Maine,Brighton Plt.,Sara Gideon,D,10
Maine,Cambridge,Sara Gideon,D,54
Maine,Canaan,Sara Gideon,D,295
Maine,Caratunk,Sara Gideon,D,20
Maine,Cornville,Sara Gideon,D,213
Maine,Dennistown Plt.,Sara Gideon,D,3
Maine,Detroit,Sara Gideon,D,110
Maine,Embden,Sara Gideon,D,126
Maine,Fairfield,Sara Gideon,D,1110
Maine,Harmony,Sara Gideon,D,115
Maine,Hartland,Sara Gideon,D,193
Maine,Highland Plt.,Sara Gideon,D,18
Maine,Jackman,Sara Gideon,D,83
Maine,Madison,Sara Gideon,D,668
Maine,Mercer,Sara Gideon,D,131
Maine,Moose River,Sara Gideon,D,10
Maine,Moscow,Sara Gideon,D,58
Maine,New Portland,Sara Gideon,D,144
Maine,Norridgewock,Sara Gideon,D,461
Maine,Palmyra,Sara Gideon,D,232
Maine,Pittsfield,Sara Gideon,D,597
Maine,Pleasant Ridge Plt.,Sara Gideon,D,5
Maine,Ripley,Sara Gideon,D,64
Maine,St. Albans,Sara Gideon,D,233
Maine,Skowhegan,Sara Gideon,D,1338
Maine,Smithfield,Sara Gideon,D,201
Maine,Solon,Sara Gideon,D,158
Maine,Starks,Sara Gideon,D,96
Maine,The Forks Plt.,Sara Gideon,D,12
Maine,West Forks Plt.,Sara Gideon,D,16
Maine,Belfast,Susan Collins,R,1541
Maine,Belmont,Sara Gideon,D,182
Maine,Brooks,Sara Gideon,D,191
Maine,Burnham,Sara Gideon,D,190
Maine,Frankfort,Sara Gideon,D,156
Maine,Freedom,Sara Gideon,D,168
Maine,Islesboro,Susan Collins,R,143
Maine,Jackson,Sara Gideon,D,111
Maine,Knox,Sara Gideon,D,111
Maine,Liberty,Sara Gideon,D,206
Maine,Lincolnville,Susan Collins,R,666
Maine,Monroe,Sara Gideon,D,232
Maine,Montville,Sara Gideon,D,281
Maine,Morrill,Sara Gideon,D,193
Maine,Northport,Susan Collins,R,471
Maine,Palermo,Sara Gideon,D,290
Maine,Prospect,Sara Gideon,D,136
Maine,Searsmont,Sara Gideon,D,329
Maine,Searsport,Sara Gideon,D,665
Maine,Stockton Springs,Sara Gideon,D,432
Maine,Swanville,Sara Gideon,D,254
Maine,Thorndike,Sara Gideon,D,168
Maine,Troy,Sara Gideon,D,172
Maine,Waldo,Sara Gideon,D,172
Maine,Winterport,Sara Gideon,D,785
Maine,Addison,Sara Gideon,D,196
Maine,Alexander,Sara Gideon,D,71
Maine,Baileyville,Sara Gideon,D,167
Maine,Baring Plt.,Sara Gideon,D,40
Maine,Beals,Sara Gideon,D,91
Maine,Beddington,Sara Gideon,D,8
Maine,Calais,Sara Gideon,D,467
Maine,Charlotte,Sara Gideon,D,48
Maine,Cherryfield,Sara Gideon,D,159
Maine,Columbia,Sara Gideon,D,55
Maine,Columbia Falls,Sara Gideon,D,85
Maine,Cooper,Sara Gideon,D,24
Maine,Crawford,Sara Gideon,D,14
Maine,Cutler,Sara Gideon,D,65
Maine,Danforth,Sara Gideon,D,68
Maine,Deblois,Sara Gideon,D,6
Maine,Dennysville,Sara Gideon,D,99
Maine,East Machias,Sara Gideon,D,220
Maine,Eastport,Sara Gideon,D,366
Maine,Grand Lake Stream Plt,Sara Gideon,D,27
Maine,Harrington,Sara Gideon,D,135
Maine,Jonesboro,Sara Gideon,D,88
Maine,Jonesport,Sara Gideon,D,201
Maine,Lubec,Sara Gideon,D,351
Maine,Machias,Sara Gideon,D,303
Maine,Machiasport,Sara Gideon,D,176
Maine,Marshfield,Sara Gideon,D,60
Maine,Meddybemps,Sara Gideon,D,21
Maine,Milbridge,Sara Gideon,D,251
Maine,Northfield,Sara Gideon,D,27
Maine,Pembroke,Sara Gideon,D,172
Maine,Perry,Sara Gideon,D,152
Maine,Princeton,Sara Gideon,D,91
Maine,Robbinston,Sara Gideon,D,107
Maine,Roque Bluffs,Sara Gideon,D,84
Maine,Steuben,Sara Gideon,D,191
Maine,Talmadge,Sara Gideon,D,11
Maine,Topsfield,Sara Gideon,D,17
Maine,Vanceboro,Sara Gideon,D,20
Maine,Waite,Sara Gideon,D,13
Maine,Wesley,Sara Gideon,D,23
Maine,Whiting,Sara Gideon,D,122
Maine,Whitneyville,Sara Gideon,D,41
Maine,Acton,Sara Gideon,D,516
Maine,Alfred,Sara Gideon,D,763
Maine,Arundel,Sara Gideon,D,1115
Maine,Berwick,Sara Gideon,D,1649
Maine,Biddeford,Susan Collins,R,4508
Maine,Buxton,Sara Gideon,D,1935
Maine,Cornish,Sara Gideon,D,341
Maine,Dayton,Sara Gideon,D,430
Maine,Eliot,Susan Collins,R,2082
Maine,Hollis,Sara Gideon,D,988
Maine,Kennebunk,Susan Collins,R,3493
Maine,Kennebunkport,Susan Collins,R,1200
Maine,Kittery,Susan Collins,R,2264
Maine,Lebanon,Sara Gideon,D,995
Maine,Limerick,Sara Gideon,D,664
Maine,Limington,Sara Gideon,D,675
Maine,Lyman,Sara Gideon,D,1007
Maine,Newfield,Sara Gideon,D,279
Maine,North Berwick,Sara Gideon,D,1169
Maine,Ogunquit,Susan Collins,R,426
Maine,Old Orchrd Bch,Susan Collins,R,2764
Maine,Parsonsfield,Sara Gideon,D,343
Maine,Saco,Susan Collins,R,5536
Maine,Sanford,Sara Gideon,D,4228
Maine,Shapleigh,Sara Gideon,D,518
Maine,South Berwick,Susan Collins,R,2036
Maine,Waterboro,Sara Gideon,D,1469
Maine,Wells,Sara Gideon,D,3564
Maine,York,Susan Collins,R,4104
Massachusetts,Barnstable,Kevin O'Connor,R,11842
Massachusetts,Bourne,Kevin O'Connor,R,5464
Massachusetts,Brewster,Kevin O'Connor,R,2497
Massachusetts,Chatham,Kevin O'Connor,R,2015
Massachusetts,Dennis,Kevin O'Connor,R,4128
Massachusetts,Eastham,Kevin O'Connor,R,1223
Massachusetts,Falmouth,Kevin O'Connor,R,7798
Massachusetts,Harwich,Kevin O'Connor,R,3601
Massachusetts,Mashpee,Kevin O'Connor,R,4242
Massachusetts,Orleans,Kevin O'Connor,R,1634
Massachusetts,Provincetown,Kevin O'Connor,R,207
Massachusetts,Sandwich,Kevin O'Connor,R,6294
Massachusetts,Truro,Kevin O'Connor,R,365
Massachusetts,Wellfleet,Kevin O'Connor,R,530
Massachusetts,Yarmouth,Kevin O'Connor,R,6125
Massachusetts,Adams,Kevin O'Connor,R,1358
Massachusetts,Alford,Kevin O'Connor,R,56
Massachusetts,Becket,Kevin O'Connor,R,397
Massachusetts,Cheshire,Kevin O'Connor,R,783
Massachusetts,Clarksburg,Kevin O'Connor,R,371
Massachusetts,Dalton,Kevin O'Connor,R,1039
Massachusetts,Egremont,Kevin O'Connor,R,167
Massachusetts,Florida,Kevin O'Connor,R,187
Massachusetts,Great Barrington,Kevin O'Connor,R,669
Massachusetts,Hancock,Kevin O'Connor,R,186
Massachusetts,Hinsdale,Kevin O'Connor,R,387
Massachusetts,Lanesborough,Kevin O'Connor,R,607
Massachusetts,Lee,Kevin O'Connor,R,977
Massachusetts,Lenox,Kevin O'Connor,R,650
Massachusetts,Monterey,Kevin O'Connor,R,112
Massachusetts,Mount Washington,Kevin O'Connor,R,20
Massachusetts,New Ashford,Kevin O'Connor,R,55
Massachusetts,New Marlborough,Kevin O'Connor,R,257
Massachusetts,North Adams,Kevin O'Connor,R,1457
Massachusetts,Otis,Kevin O'Connor,R,414
Massachusetts,Peru,Kevin O'Connor,R,215
Massachusetts,Pittsfield,Kevin O'Connor,R,4914
Massachusetts,Richmond,Kevin O'Connor,R,210
Massachusetts,Sandisfield,Kevin O'Connor,R,186
Massachusetts,Savoy,Kevin O'Connor,R,151
Massachusetts,Sheffield,Kevin O'Connor,R,569
Massachusetts,Stockbridge,Kevin O'Connor,R,247
Massachusetts,Tyringham,Kevin O'Connor,R,69
Massachusetts,Washington,Kevin O'Connor,R,99
Massachusetts,West Stockbridge,Kevin O'Connor,R,166
Massachusetts,Williamstown,Kevin O'Connor,R,561
Massachusetts,Windsor,Kevin O'Connor,R,161
Massachusetts,Acushnet,Ed Markey,D,2870
Massachusetts,Attleboro,Kevin O'Connor,R,9243
Massachusetts,Berkley,Ed Markey,D,1855
Massachusetts,Dartmouth,Kevin O'Connor,R,7280
Massachusetts,Dighton,Ed Markey,D,2182
Massachusetts,Easton,Kevin O'Connor,R,5702
Massachusetts,Fairhaven,Kevin O'Connor,R,4075
Massachusetts,Fall River,Kevin O'Connor,R,11467
Massachusetts,Freetown,Ed Markey,D,2545
Massachusetts,Mansfield,Kevin O'Connor,R,5527
Massachusetts,New Bedford,Kevin O'Connor,R,11197
Massachusetts,North Attleborough,Kevin O'Connor,R,7371
Massachusetts,Norton,Kevin O'Connor,R,4789
Massachusetts,Raynham,Kevin O'Connor,R,4119
Massachusetts,Rehoboth,Ed Markey,D,3648
Massachusetts,Seekonk,Kevin O'Connor,R,3996
Massachusetts,Somerset,Kevin O'Connor,R,4793
Massachusetts,Swansea,Kevin O'Connor,R,4757
Massachusetts,Taunton,Kevin O'Connor,R,10581
Massachusetts,Westport,Kevin O'Connor,R,4655
Massachusetts,Aquinnah,Kevin O'Connor,R,44
Massachusetts,Chilmark,Kevin O'Connor,R,126
Massachusetts,Edgartown,Kevin O'Connor,R,933
Massachusetts,Gosnold,Kevin O'Connor,R,23
Massachusetts,Oak Bluffs,Kevin O'Connor,R,739
Massachusetts,Tisbury,Kevin O'Connor,R,571
Massachusetts,West Tisbury,Kevin O'Connor,R,363
Massachusetts,Amesbury,Kevin O'Connor,R,3412
Massachusetts,Andover,Kevin O'Connor,R,7470
Massachusetts,Beverly,Kevin O'Connor,R,7466
Massachusetts,Boxford,Kevin O'Connor,R,2520
Massachusetts,Danvers,Kevin O'Connor,R,6744
Massachusetts,Essex,Kevin O'Connor,R,861
Massachusetts,Georgetown,Kevin O'Connor,R,2450
Massachusetts,Gloucester,Kevin O'Connor,R,5625
Massachusetts,Groveland,Kevin O'Connor,R,2049
Massachusetts,Hamilton,Kevin O'Connor,R,1754
Massachusetts,Haverhill,Kevin O'Connor,R,11960
Massachusetts,Ipswich,Kevin O'Connor,R,3275
Massachusetts,Lawrence,Kevin O'Connor,R,4757
Massachusetts,Lynn,Kevin O'Connor,R,8981
Massachusetts,Lynnfield,Kevin O'Connor,R,3922
Massachusetts,Manchester,Kevin O'Connor,R,1213
Massachusetts,Marblehead,Kevin O'Connor,R,4339
Massachusetts,Merrimac,Kevin O'Connor,R,1759
Massachusetts,Methuen,Kevin O'Connor,R,10229
Massachusetts,Middleton,Ed Markey,D,2779
Massachusetts,Nahant,Kevin O'Connor,R,836
Massachusetts,Newbury,Kevin O'Connor,R,1894
Massachusetts,Newburyport,Kevin O'Connor,R,3716
Massachusetts,North Andover,Kevin O'Connor,R,6952
Massachusetts,Peabody,Kevin O'Connor,R,11782
Massachusetts,Rockport,Kevin O'Connor,R,1455
Massachusetts,Rowley,Kevin O'Connor,R,1947
Massachusetts,Salem,Kevin O'Connor,R,5368
Massachusetts,Salisbury,Kevin O'Connor,R,2495
Massachusetts,Saugus,Kevin O'Connor,R,6666
Massachusetts,Swampscott,Kevin O'Connor,R,2680
Massachusetts,Topsfield,Kevin O'Connor,R,1754
Massachusetts,Wenham,Kevin O'Connor,R,977
Massachusetts,West Newbury,Kevin O'Connor,R,1214
Massachusetts,Ashfield,Kevin O'Connor,R,219
Massachusetts,Bernardston,Kevin O'Connor,R,448
Massachusetts,Buckland,Kevin O'Connor,R,255
Massachusetts,Charlemont,Kevin O'Connor,R,230
Massachusetts,Colrain,Kevin O'Connor,R,320
Massachusetts,Conway,Kevin O'Connor,R,285
Massachusetts,Deerfield,Kevin O'Connor,R,875
Massachusetts,Erving,Kevin O'Connor,R,305
Massachusetts,Gill,Kevin O'Connor,R,281
Massachusetts,Greenfield,Kevin O'Connor,R,2301
Massachusetts,Hawley,Kevin O'Connor,R,73
Massachusetts,Heath,Kevin O'Connor,R,158
Massachusetts,Leverett,Kevin O'Connor,R,154
Massachusetts,Leyden,Kevin O'Connor,R,161
Massachusetts,Monroe,Ed Markey,D,23
Massachusetts,Montague,Kevin O'Connor,R,1185
Massachusetts,New Salem,Kevin O'Connor,R,223
Massachusetts,Northfield,Kevin O'Connor,R,584
Massachusetts,Orange,Kevin O'Connor,R,1636
Massachusetts,Rowe,Kevin O'Connor,R,109
Massachusetts,Shelburne,Kevin O'Connor,R,230
Massachusetts,Shutesbury,Kevin O'Connor,R,151
Massachusetts,Sunderland,Kevin O'Connor,R,408
Massachusetts,Warwick,Kevin O'Connor,R,177
Massachusetts,Wendell,Kevin O'Connor,R,101
Massachusetts,Whately,Kevin O'Connor,R,337
Massachusetts,Agawam,Ed Markey,D,7455
Massachusetts,Blandford,Ed Markey,D,283
Massachusetts,Brimfield,Ed Markey,D,1061
Massachusetts,Chester,Ed Markey,D,308
Massachusetts,Chicopee,Kevin O'Connor,R,10262
Massachusetts,East Longmeadow,Kevin O'Connor,R,4618
Massachusetts,Granville,Ed Markey,D,398
Massachusetts,Hampden,Ed Markey,D,1538
Massachusetts,Holland,Ed Markey,D,684
Massachusetts,Holyoke,Kevin O'Connor,R,4814
Massachusetts,Longmeadow,Kevin O'Connor,R,3736
Massachusetts,Ludlow,Kevin O'Connor,R,5317
Massachusetts,Monson,Ed Markey,D,2461
Massachusetts,Montgomery,Ed Markey,D,225
Massachusetts,Palmer,Kevin O'Connor,R,3109
Massachusetts,Russell,Ed Markey,D,380
Massachusetts,Southwick,Ed Markey,D,2319
Massachusetts,Springfield,Kevin O'Connor,R,13488
Massachusetts,Tolland,Ed Markey,D,129
Massachusetts,Wales,Ed Markey,D,432
Massachusetts,Westfield,Kevin O'Connor,R,9854
Massachusetts,West Springfield,Kevin O'Connor,R,5904
Massachusetts,Wilbraham,Kevin O'Connor,R,4268
Massachusetts,Amherst,Kevin O'Connor,R,929
Massachusetts,Belchertown,Kevin O'Connor,R,3517
Massachusetts,Chesterfield,Kevin O'Connor,R,305
Massachusetts,Cummington,Kevin O'Connor,R,165
Massachusetts,Easthampton,Kevin O'Connor,R,2588
Massachusetts,Goshen,Kevin O'Connor,R,224
Massachusetts,Granby,Kevin O'Connor,R,1714
Massachusetts,Hadley,Kevin O'Connor,R,946
Massachusetts,Hatfield,Kevin O'Connor,R,678
Massachusetts,Huntington,Ed Markey,D,585
Massachusetts,Middlefield,Kevin O'Connor,R,126
Massachusetts,Northampton,Kevin O'Connor,R,2031
Massachusetts,Pelham,Kevin O'Connor,R,109
Massachusetts,Plainfield,Kevin O'Connor,R,119
Massachusetts,Southampton,Kevin O'Connor,R,1823
Massachusetts,South Hadley,Kevin O'Connor,R,3251
Massachusetts,Ware,Kevin O'Connor,R,2394
Massachusetts,Westhampton,Kevin O'Connor,R,421
Massachusetts,Williamsburg,Kevin O'Connor,R,364
Massachusetts,Worthington,Kevin O'Connor,R,279
Massachusetts,Acton,Kevin O'Connor,R,2941
Massachusetts,Arlington,Kevin O'Connor,R,4699
Massachusetts,Ashby,Kevin O'Connor,R,963
Massachusetts,Ashland,Kevin O'Connor,R,3199
Massachusetts,Ayer,Kevin O'Connor,R,1575
Massachusetts,Bedford,Kevin O'Connor,R,2455
Massachusetts,Belmont,Kevin O'Connor,R,3287
Massachusetts,Billerica,Kevin O'Connor,R,10399
Massachusetts,Boxborough,Kevin O'Connor,R,909
Massachusetts,Burlington,Kevin O'Connor,R,5555
Massachusetts,Cambridge,Kevin O'Connor,R,4134
Massachusetts,Carlisle,Kevin O'Connor,R,930
Massachusetts,Chelmsford,Kevin O'Connor,R,8041
Massachusetts,Concord,Kevin O'Connor,R,2593
Massachusetts,Dracut,Kevin O'Connor,R,8398
Massachusetts,Dunstable,Kevin O'Connor,R,928
Massachusetts,Everett,Kevin O'Connor,R,3277
Massachusetts,Framingham,Kevin O'Connor,R,7833
Massachusetts,Groton,Kevin O'Connor,R,2430
Massachusetts,Holliston,Kevin O'Connor,R,2995
Massachusetts,Hopkinton,Kevin O'Connor,R,3480
Massachusetts,Hudson,Kevin O'Connor,R,3942
Massachusetts,Lexington,Kevin O'Connor,R,3871
Massachusetts,Lincoln,Kevin O'Connor,R,804
Massachusetts,Littleton,Kevin O'Connor,R,2186
Massachusetts,Lowell,Kevin O'Connor,R,10799
Massachusetts,Malden,Kevin O'Connor,R,5221
Massachusetts,Marlborough,Kevin O'Connor,R,6239
Massachusetts,Maynard,Kevin O'Connor,R,1756
Massachusetts,Medford,Kevin O'Connor,R,7082
Massachusetts,Melrose,Kevin O'Connor,R,4828
Massachusetts,Natick,Kevin O'Connor,R,5716
Massachusetts,Newton,Kevin O'Connor,R,9459
Massachusetts,North Reading,Kevin O'Connor,R,4099
Massachusetts,Pepperell,Kevin O'Connor,R,3254
Massachusetts,Reading,Kevin O'Connor,R,5842
Massachusetts,Sherborn,Kevin O'Connor,R,839
Massachusetts,Shirley,Kevin O'Connor,R,1458
Massachusetts,Somerville,Kevin O'Connor,R,4443
Massachusetts,Stoneham,Kevin O'Connor,R,5101
Massachusetts,Stow,Kevin O'Connor,R,1438
Massachusetts,Sudbury,Kevin O'Connor,R,3380
Massachusetts,Tewksbury,Kevin O'Connor,R,8432
Massachusetts,Townsend,Kevin O'Connor,R,2594
Massachusetts,Tyngsborough,Kevin O'Connor,R,3398
Massachusetts,Wakefield,Kevin O'Connor,R,5970
Massachusetts,Waltham,Kevin O'Connor,R,7707
Massachusetts,Watertown,Kevin O'Connor,R,3832
Massachusetts,Wayland,Kevin O'Connor,R,2237
Massachusetts,Westford,Kevin O'Connor,R,5125
Massachusetts,Weston,Kevin O'Connor,R,2238
Massachusetts,Wilmington,Kevin O'Connor,R,6214
Massachusetts,Winchester,Kevin O'Connor,R,4218
Massachusetts,Woburn,Kevin O'Connor,R,7996
Massachusetts,Nantucket,Kevin O'Connor,R,2034
