state,county,candidate,Party,votes
Georgia,Pickens County,Jon Ossoff,D,2678
Georgia,Pierce County,Jon Ossoff,D,1002
Georgia,Pike County,Jon Ossoff,D,1430
Georgia,Polk County,Jon Ossoff,D,3537
Georgia,Pulaski County,Jon Ossoff,D,1139
Georgia,Putnam County,Jon Ossoff,D,3299
Georgia,Quitman County,Jon Ossoff,D,470
Georgia,Rabun County,Jon Ossoff,D,1825
Georgia,Randolph County,David Perdue,R,1404
Georgia,Richmond County,David Perdue,R,27052
Georgia,Rockdale County,David Perdue,R,12716
Georgia,Schley County,Jon Ossoff,D,439
Georgia,Screven County,Jon Ossoff,D,2589
Georgia,Seminole County,Jon Ossoff,D,1187
Georgia,Spalding County,Jon Ossoff,D,11355
Georgia,Stephens County,Jon Ossoff,D,2187
Georgia,Stewart County,David Perdue,R,803
Georgia,Sumter County,David Perdue,R,5743
Georgia,Talbot County,David Perdue,R,1386
Georgia,Taliaferro County,David Perdue,R,366
Georgia,Tattnall County,Jon Ossoff,D,1978
Georgia,Taylor County,Jon Ossoff,D,1312
Georgia,Telfair County,Jon Ossoff,D,1435
Georgia,Terrell County,David Perdue,R,2040
Georgia,Thomas County,Jon Ossoff,D,8158
Georgia,Tift County,Jon Ossoff,D,4956
Georgia,Toombs County,Jon Ossoff,D,2832
Georgia,Towns County,Jon Ossoff,D,1451
Georgia,Treutlen County,Jon Ossoff,D,893
Georgia,Troup County,Jon Ossoff,D,11111
Georgia,Turner County,Jon Ossoff,D,1345
Georgia,Twiggs County,Jon Ossoff,D,1981
Georgia,Union County,Jon Ossoff,D,2616
Georgia,Upson County,Jon Ossoff,D,4000
Georgia,Walker County,Jon Ossoff,D,5435
Georgia,Walton County,Jon Ossoff,D,12146
Georgia,Ware County,Jon Ossoff,D,3937
Georgia,Warren County,David Perdue,R,1161
Georgia,Washington County,Jon Ossoff,D,4477
Georgia,Wayne County,Jon Ossoff,D,2655
Georgia,Webster County,Jon Ossoff,D,626
Georgia,Wheeler County,Jon Ossoff,D,657
Georgia,White County,Jon Ossoff,D,2273
Georgia,Whitfield County,Jon Ossoff,D,10177
Georgia,Wilcox County,Jon Ossoff,D,805
Georgia,Wilkes County,Jon Ossoff,D,2057
Georgia,Wilkinson County,Jon Ossoff,D,2017
Georgia,Worth County,Jon Ossoff,D,2327
Idaho,Ada County,Paulette Jordan,D,118718
Idaho,Adams County,Paulette Jordan,D,625
Idaho,Bannock County,Paulette Jordan,D,15472
Idaho,Bear Lake County,Paulette Jordan,D,355
Idaho,Benewah County,Paulette Jordan,D,1081
Idaho,Bingham County,Paulette Jordan,D,4313
Idaho,Blaine County,Jim Risch,R,4225
Idaho,Boise County,Paulette Jordan,D,1247
Idaho,Bonner County,Paulette Jordan,D,8079
Idaho,Bonneville County,Paulette Jordan,D,13913
Idaho,Boundary County,Paulette Jordan,D,1212
Idaho,Butte County,Paulette Jordan,D,222
Idaho,Camas County,Paulette Jordan,D,156
Idaho,Canyon County,Paulette Jordan,D,26603
Idaho,Caribou County,Paulette Jordan,D,442
Idaho,Cassia County,Paulette Jordan,D,1508
Idaho,Clark County,Paulette Jordan,D,42
Idaho,Clearwater County,Paulette Jordan,D,883
Idaho,Custer County,Paulette Jordan,D,603
Idaho,Elmore County,Paulette Jordan,D,2814
Idaho,Franklin County,Paulette Jordan,D,585
Idaho,Fremont County,Paulette Jordan,D,1001
Idaho,Gem County,Paulette Jordan,D,1957
Idaho,Gooding County,Paulette Jordan,D,1335
Idaho,Idaho County,Paulette Jordan,D,1532
Idaho,Jefferson County,Paulette Jordan,D,1647
Idaho,Jerome County,Paulette Jordan,D,1978
Idaho,Kootenai County,Paulette Jordan,D,22945
Idaho,Latah County,Jim Risch,R,9501
Idaho,Lemhi County,Paulette Jordan,D,1020
Idaho,Lewis County,Paulette Jordan,D,357
Idaho,Lincoln County,Paulette Jordan,D,470
Idaho,Madison County,Paulette Jordan,D,2288
Idaho,Minidoka County,Paulette Jordan,D,1587
Idaho,Nez Perce County,Paulette Jordan,D,6510
Idaho,Oneida County,Paulette Jordan,D,253
Idaho,Owyhee County,Paulette Jordan,D,910
Idaho,Payette County,Paulette Jordan,D,2308
Idaho,Power County,Paulette Jordan,D,876
Idaho,Shoshone County,Paulette Jordan,D,1747
Idaho,Teton County,Jim Risch,R,2837
