state,county,candidate,Party,votes,won
Florida,Okaloosa County,Joe Biden,D,34248,False
Florida,Okeechobee County,Donald Trump,R,11470,True
Florida,Okeechobee County,Joe Biden,D,4390,False
Florida,Orange County,Joe Biden,D,395014,True
Florida,Orange County,Donald Trump,R,245398,False
Florida,Osceola County,Joe Biden,D,97297,True
Florida,Osceola County,Donald Trump,R,73480,False
Florida,Palm Beach County,Joe Biden,D,433572,True
Florida,Palm Beach County,Donald Trump,R,334711,False
Florida,Pasco County,Donald Trump,R,179621,True
Florida,Pasco County,Joe Biden,D,119073,False
Florida,Pinellas County,Joe Biden,D,277450,True
Florida,Pinellas County,Donald Trump,R,276209,False
Florida,Polk County,Donald Trump,R,194586,True
Florida,Polk County,Joe Biden,D,145049,False
Florida,Putnam County,Donald Trump,R,25514,True
Florida,Putnam County,Joe Biden,D,10527,False
Florida,St. Johns County,Donald Trump,R,110946,True
Florida,St. Johns County,Joe Biden,D,63850,False
Florida,St. Lucie County,Donald Trump,R,86831,True
Florida,St. Lucie County,Joe Biden,D,84137,False
Florida,Santa Rosa County,Donald Trump,R,77385,True
Florida,Santa Rosa County,Joe Biden,D,27612,False
Florida,Sarasota County,Donald Trump,R,148370,True
Florida,Sarasota County,Joe Biden,D,120110,False
Florida,Seminole County,Joe Biden,D,132528,True
Florida,Seminole County,Donald Trump,R,125241,False
Florida,Sumter County,Donald Trump,R,62761,True
Florida,Sumter County,Joe Biden,D,29341,False
Florida,Suwannee County,Donald Trump,R,16410,True
Florida,Suwannee County,Joe Biden,D,4485,False
Florida,Taylor County,Donald Trump,R,7751,True
Florida,Taylor County,Joe Biden,D,2299,False
Florida,Union County,Donald Trump,R,5133,True
Florida,Union County,Joe Biden,D,1053,False
Florida,Volusia County,Donald Trump,R,173821,True
Florida,Volusia County,Joe Biden,D,130575,False
Florida,Wakulla County,Donald Trump,R,12874,True
Florida,Wakulla County,Joe Biden,D,5351,False
Florida,Walton County,Donald Trump,R,32947,True
Florida,Walton County,Joe Biden,D,10338,False
Florida,Washington County,Donald Trump,R,9876,True
Florida,Washington County,Joe Biden,D,2347,False
Georgia,Appling County,Donald Trump,R,6570,True
Georgia,Appling County,Joe Biden,D,1784,False
Georgia,Atkinson County,Donald Trump,R,2300,True
Georgia,Atkinson County,Joe Biden,D,825,False
Georgia,Bacon County,Donald Trump,R,4017,True
Georgia,Bacon County,Joe Biden,D,625,False
Georgia,Baker County,Donald Trump,R,897,True
Georgia,Baker County,Joe Biden,D,652,False
Georgia,Baldwin County,Joe Biden,D,9140,True
Georgia,Baldwin County,Donald Trump,R,8903,False
Georgia,Banks County,Donald Trump,R,7795,True
Georgia,Banks County,Joe Biden,D,932,False
Georgia,Barrow County,Donald Trump,R,26804,True
Georgia,Barrow County,Joe Biden,D,10453,False
Georgia,Bartow County,Donald Trump,R,37672,True
Georgia,Bartow County,Joe Biden,D,12091,False
Georgia,Ben Hill County,Donald Trump,R,4111,True
Georgia,Ben Hill County,Joe Biden,D,2393,False
Georgia,Berrien County,Donald Trump,R,6419,True
Georgia,Berrien County,Joe Biden,D,1269,False
Georgia,Bibb County,Joe Biden,D,43408,True
Georgia,Bibb County,Donald Trump,R,26559,False
Georgia,Bleckley County,Donald Trump,R,4329,True
Georgia,Bleckley County,Joe Biden,D,1312,False
Georgia,Brantley County,Donald Trump,R,6993,True
Georgia,Brantley County,Joe Biden,D,700,False
Georgia,Brooks County,Donald Trump,R,4261,True
Georgia,Brooks County,Joe Biden,D,2791,False
Georgia,Bryan County,Donald Trump,R,14240,True
Georgia,Bryan County,Joe Biden,D,6738,False
Georgia,Bulloch County,Donald Trump,R,18387,True
Georgia,Bulloch County,Joe Biden,D,11248,False
Georgia,Burke County,Donald Trump,R,5400,True
Georgia,Burke County,Joe Biden,D,5208,False
Georgia,Butts County,Donald Trump,R,8406,True
Georgia,Butts County,Joe Biden,D,3274,False
Georgia,Calhoun County,Joe Biden,D,1263,True
Georgia,Calhoun County,Donald Trump,R,923,False
Georgia,Camden County,Donald Trump,R,15249,True
Georgia,Camden County,Joe Biden,D,7967,False
Georgia,Candler County,Donald Trump,R,3133,True
Georgia,Candler County,Joe Biden,D,1269,False
Georgia,Carroll County,Donald Trump,R,37476,True
Georgia,Carroll County,Joe Biden,D,16236,False
Georgia,Catoosa County,Donald Trump,R,25167,True
Georgia,Catoosa County,Joe Biden,D,6932,False
Georgia,Charlton County,Donald Trump,R,3419,True
Georgia,Charlton County,Joe Biden,D,1105,False
Georgia,Chatham County,Joe Biden,D,78247,True
Georgia,Chatham County,Donald Trump,R,53232,False
Georgia,Chattahoochee County,Donald Trump,R,880,True
Georgia,Chattahoochee County,Joe Biden,D,667,False
Georgia,Chattooga County,Donald Trump,R,8064,True
Georgia,Chattooga County,Joe Biden,D,1854,False
Georgia,Cherokee County,Donald Trump,R,99585,True
Georgia,Cherokee County,Joe Biden,D,42779,False
Georgia,Clarke County,Joe Biden,D,36055,True
Georgia,Clarke County,Donald Trump,R,14450,False
Georgia,Clay County,Joe Biden,D,791,True
Georgia,Clay County,Donald Trump,R,637,False
Georgia,Clayton County,Joe Biden,D,95466,True
Georgia,Clayton County,Donald Trump,R,15811,False
Georgia,Clinch County,Donald Trump,R,2105,True
Georgia,Clinch County,Joe Biden,D,744,False
Georgia,Cobb County,Joe Biden,D,221847,True
Georgia,Cobb County,Donald Trump,R,165436,False
Georgia,Coffee County,Donald Trump,R,10578,True
Georgia,Coffee County,Joe Biden,D,4511,False
Georgia,Colquitt County,Donald Trump,R,11777,True
Georgia,Colquitt County,Joe Biden,D,4190,False
Georgia,Columbia County,Donald Trump,R,50013,True
Georgia,Columbia County,Joe Biden,D,29232,False
Georgia,Cook County,Donald Trump,R,4900,True
Georgia,Cook County,Joe Biden,D,2059,False
Georgia,Coweta County,Donald Trump,R,51501,True
Georgia,Coweta County,Joe Biden,D,24210,False
Georgia,Crawford County,Donald Trump,R,4428,True
Georgia,Crawford County,Joe Biden,D,1615,False
Georgia,Crisp County,Donald Trump,R,4985,True
Georgia,Crisp County,Joe Biden,D,2982,False
Georgia,Dade County,Donald Trump,R,6066,True
Georgia,Dade County,Joe Biden,D,1261,False
Georgia,Dawson County,Donald Trump,R,13398,True
Georgia,Dawson County,Joe Biden,D,2486,False
Georgia,Decatur County,Donald Trump,R,6755,True
Georgia,Decatur County,Joe Biden,D,4782,False
Georgia,DeKalb County,Joe Biden,D,308162,True
Georgia,DeKalb County,Donald Trump,R,58377,False
Georgia,Dodge County,Donald Trump,R,5843,True
Georgia,Dodge County,Joe Biden,D,2172,False
Georgia,Dooly County,Donald Trump,R,2159,True
Georgia,Dooly County,Joe Biden,D,1911,False
Georgia,Dougherty County,Joe Biden,D,24568,True
Georgia,Dougherty County,Donald Trump,R,10441,False
Georgia,Douglas County,Joe Biden,D,42814,True
Georgia,Douglas County,Donald Trump,R,25454,False
Georgia,Early County,Donald Trump,R,2710,True
Georgia,Early County,Joe Biden,D,2450,False
Georgia,Echols County,Donald Trump,R,1256,True
Georgia,Echols County,Joe Biden,D,167,False
Georgia,Effingham County,Donald Trump,R,23361,True
Georgia,Effingham County,Joe Biden,D,7718,False
Georgia,Elbert County,Donald Trump,R,6226,True
Georgia,Elbert County,Joe Biden,D,2879,False
Georgia,Emanuel County,Donald Trump,R,6553,True
Georgia,Emanuel County,Joe Biden,D,2886,False
Georgia,Evans County,Donald Trump,R,2888,True
Georgia,Evans County,Joe Biden,D,1324,False
Georgia,Fannin County,Donald Trump,R,12169,True
Georgia,Fannin County,Joe Biden,D,2570,False
Georgia,Fayette County,Donald Trump,R,37956,True
Georgia,Fayette County,Joe Biden,D,33062,False
