state,county,candidate,Party,votes,won
Indiana,Miami County,Eric Holcomb,R,9208,True
Indiana,Miami County,Woody Myers,D,2439,False
Indiana,Monroe County,Woody Myers,D,33033,True
Indiana,Monroe County,Eric Holcomb,R,24605,False
Indiana,Montgomery County,Eric Holcomb,R,10587,True
Indiana,Montgomery County,Woody Myers,D,2812,False
Indiana,Morgan County,Eric Holcomb,R,22161,True
Indiana,Morgan County,Woody Myers,D,5602,False
Indiana,Newton County,Eric Holcomb,R,4358,True
Indiana,Newton County,Woody Myers,D,1148,False
Indiana,Noble County,Eric Holcomb,R,12498,True
Indiana,Noble County,Woody Myers,D,3237,False
Indiana,Ohio County,Eric Holcomb,R,2210,True
Indiana,Ohio County,Woody Myers,D,641,False
Indiana,Orange County,Eric Holcomb,R,5591,True
Indiana,Orange County,Woody Myers,D,1952,False
Indiana,Owen County,Eric Holcomb,R,5857,True
Indiana,Owen County,Woody Myers,D,1852,False
Indiana,Parke County,Eric Holcomb,R,4766,True
Indiana,Parke County,Woody Myers,D,1127,False
Indiana,Perry County,Eric Holcomb,R,5523,True
Indiana,Perry County,Woody Myers,D,2518,False
Indiana,Pike County,Eric Holcomb,R,4199,True
Indiana,Pike County,Woody Myers,D,1092,False
Indiana,Porter County,Eric Holcomb,R,45996,True
Indiana,Porter County,Woody Myers,D,33397,False
Indiana,Posey County,Eric Holcomb,R,9648,True
Indiana,Posey County,Woody Myers,D,2773,False
Indiana,Pulaski County,Eric Holcomb,R,3874,True
Indiana,Pulaski County,Woody Myers,D,1019,False
Indiana,Putnam County,Eric Holcomb,R,9375,True
Indiana,Putnam County,Woody Myers,D,2876,False
Indiana,Randolph County,Eric Holcomb,R,7399,True
Indiana,Randolph County,Woody Myers,D,1863,False
Indiana,Ripley County,Eric Holcomb,R,9518,True
Indiana,Ripley County,Woody Myers,D,2231,False
Indiana,Rush County,Eric Holcomb,R,4949,True
Indiana,Rush County,Woody Myers,D,1215,False
Indiana,St. Joseph County,Eric Holcomb,R,60696,True
Indiana,St. Joseph County,Woody Myers,D,48610,False
Indiana,Scott County,Eric Holcomb,R,6062,True
Indiana,Scott County,Woody Myers,D,2295,False
Indiana,Shelby County,Eric Holcomb,R,12269,True
Indiana,Shelby County,Woody Myers,D,3499,False
Indiana,Spencer County,Eric Holcomb,R,7272,True
Indiana,Spencer County,Woody Myers,D,2461,False
Indiana,Starke County,Eric Holcomb,R,6730,True
Indiana,Starke County,Woody Myers,D,2026,False
Indiana,Steuben County,Eric Holcomb,R,11407,True
Indiana,Steuben County,Woody Myers,D,2939,False
Indiana,Sullivan County,Eric Holcomb,R,6009,True
Indiana,Sullivan County,Woody Myers,D,1550,False
Indiana,Switzerland County,Eric Holcomb,R,2846,True
Indiana,Switzerland County,Woody Myers,D,822,False
Indiana,Tippecanoe County,Eric Holcomb,R,37979,True
Indiana,Tippecanoe County,Woody Myers,D,26179,False
Indiana,Tipton County,Eric Holcomb,R,5169,True
Indiana,Tipton County,Woody Myers,D,1200,False
Indiana,Union County,Eric Holcomb,R,2533,True
Indiana,Union County,Woody Myers,D,603,False
Indiana,Vanderburgh County,Eric Holcomb,R,46490,True
Indiana,Vanderburgh County,Woody Myers,D,27242,False
Indiana,Vermillion County,Eric Holcomb,R,4938,True
Indiana,Vermillion County,Woody Myers,D,1531,False
Indiana,Vigo County,Eric Holcomb,R,25917,True
Indiana,Vigo County,Woody Myers,D,13999,False
Indiana,Wabash County,Eric Holcomb,R,9111,True
Indiana,Wabash County,Woody Myers,D,2421,False
Indiana,Warren County,Eric Holcomb,R,3009,True
Indiana,Warren County,Woody Myers,D,672,False
